AATSC2e,RotBtFrac,MLFER_A,AATSC2s,MATS2e,ATSC2s,HybRatio,nHBDon,nHsOH,nHBint2,SsOH,RDF20m,nBondsD,minHBint7,MATS6m,MATS6c,nAtomP,MATS6e,GATS2v,AATSC2m,nAtomLAC,AATSC6e,AATSC6s,maxdO,ATSC2m,minwHBa,MATS5i,MATS3c,ASP-3,MATS5p,AATSC3e,nHBDon_Lipinski,minHCsatu,ATSC8c,RDF20v,minHBa,AATSC3s,ATSC1m,VE3_DzZ,ATSC1s,RotBFrac,MATS1s,AATS0m,AATS6i,RDF20i,nT6Ring,AATS3s,VR2_Dzp,minssCH2,VR2_Dzi,PetitjeanNumber,nHBa,BCUTc-1l,SM1_Dzi,y
-0.027253938,1,0.697486685,-0.461500418,-0.231168323,-15.02552255,1,2.49797916,2.49797916,0,21.06977259,0.629151578,0,1.430921992,0.268993815,0.306465479,0,0.126916524,1.147171042,-5.773283841,2.637112508,0.013287065,0.244237763,0,-148.7091253,0,0.080840827,0.105596514,0.200327704,0.10613455,0.005285656,2.49797916,0,-0.00680239,1.432624771,8.119061273,0.039657412,-78.52318667,-14.43329256,-13.48097918,0.290990387,-0.244457778,70.49057505,138.0599599,9.206288632,0,3.510842232,62988.91839,-0.058664157,62989.24586,0.482199484,2.49797916,-0.394666488,0.518525816,1
-0.027769539,0.785714286,0.805142857,-0.5705276,-0.138643751,-9.957708571,0.942857143,2.714285714,2.428571429,0.285714286,19.54035714,0.582741836,0.285714286,0,0.759483714,0.786299867,0.857142857,0.372947063,1.403730585,-8.784018146,2.142857143,0.060581253,1.19466414,2.896878306,-191.2038447,-0.205687831,0.232886393,0.203324456,0.309748989,0.277265297,0.021496716,2.714285714,0.182142857,0,1.360271279,6.476686508,0.453859176,-75.55180057,-16.84792261,-12.83870215,0.321428571,-0.244931116,85.85284341,184.917652,8.004756609,0,4.721340388,357146.2675,-0.035548942,357145.5722,0.5,3,-0.375822921,0.534292672,1
0.061353492,0.777777778,0.691,1.867946461,0.37716718,16.5564059,0.333333333,1.666666667,0.333333333,2.666666667,2.795416667,0.241523015,0.666666667,0,0.162997054,0.159537097,2.666666667,0.070879834,1.130511228,8.817385035,0.666666667,0.004477971,0.068216175,6,77.28380158,-0.555555555,0.044613066,-0.493760027,0.083333333,0.062021006,-0.106346875,3,0,0,0.630953036,5.62875,-3.13978647,-55.86709973,-10.23632214,-11.76993576,0.111111111,-0.404335608,85.24323889,61.63921733,3.927588397,0,4.375,500001.1547,0.09375,500001.3923,0.5,2.333333333,-0.318711132,0.548550162,1
-0.032966631,0.988636364,0.6733125,-0.636699535,-0.232665646,-12.54538182,0.979166667,2.4375,2.25,0.1875,18.15459958,0.605615709,0.125,0.16422315,0.607105896,0.761980699,0.25,0.305095718,1.223803873,-7.05915412,2.8125,0.046779055,0.905123752,0.638571369,-147.2214738,-0.062517361,0.204809171,0.167116608,0.3119875,0.256857572,0.016111128,2.625,0.043428288,0.014756073,1.376745274,7.889264112,0.317848574,-74.14447604,-14.71421595,-12.69570376,0.382575758,-0.26774328,76.87168845,184.5543749,8.781378424,0,4.290027006,312502.1901,-0.116157407,312502.027,0.5,2.5,-0.390189665,0.527075697,1
0.059468769,0.780303031,0.7026875,1.799298592,0.372352144,17.49368068,0.354166667,1.8125,0.375,2.6875,3.144472268,0.259889649,0.75,0.16422315,0.156900305,0.150379453,2.75,0.067845131,1.143741276,8.372854386,0.9375,0.004343137,0.054429307,6.263571369,76.82235653,-0.583350694,0.03633025,-0.465671092,0.094198929,0.056696121,-0.100062591,3.25,0.043428288,0.014756073,0.692764469,5.592533787,-2.945879564,-59.15504237,-9.862185687,-12.12712737,0.132575758,-0.395443445,85.1475793,68.98084236,4.175812357,0,4.332465278,468751.655,0.111707176,468751.5968,0.5,2.5,-0.319452624,0.592219946,1
-0.031786332,1,0.574333333,-0.725244738,-0.212925446,-15.54639189,1,2,2,0,16.01080247,0.680022294,0,0,0.420814024,0.644309502,0,0.222503804,1.391176118,-8.511745033,3.333333333,0.044939313,0.903099465,0,-255.0765665,0,0.227961002,0.146265894,0.303018487,0.235548583,0.017041467,2,0,0.000492978,1.816261441,5.283179013,0.402062423,-67.69408342,-35.69211761,-11.44512348,0.516666667,-0.293918479,73.54422332,177.375412,12.57214376,0,4.107510288,411806.5322,0.207465278,411769.9978,0.5,2,-0.376997424,0.421351567,1
-0.013420418,1,0.403666667,-0.262067839,-0.130844633,-5.561513519,1,1.333333333,1.333333333,0,10.66975309,0.51611585,0,0,-0.059405273,-0.008065161,0,-0.03056349,1.315706545,-4.167697748,3.333333333,-0.000325667,-0.004307942,0,-160.6262204,0,0.245348924,0.117292213,0.342876205,0.269647717,0.001684978,1.333333333,0,0.000492978,1.475403303,5.262345679,0.087209053,-54.63112026,-21.85990108,-7.273854574,0.416666667,-0.266857296,64.84558913,54.0969773,10.3863993,0,3.412037037,78475.25715,0.357928241,78437.80289,0.388888889,1.333333333,-0.37661962,0.305928776,1
-0.031413561,1,0.8155,-0.547724842,-0.261146464,-19.19770291,1,3,3,0,25.47993056,0.780803307,0,0,0.26677773,0.233827751,0,0.09966388,1.095804447,-4.528332714,3.5,0.005483349,0.072279497,0,-158.7137161,0,0.052424233,0.145108041,0.253459917,0.074969918,0.01324951,3,0,0.022018109,1.771158167,8.316550926,0.195343117,-83.5075606,-18.47885711,-16.53489674,0.388888889,-0.251313847,74.03683016,183.6484108,11.45628527,0,3.93504902,150002.7855,-0.179699074,150003.0295,0.5,3,-0.394237981,0.63202735,1
-0.033453548,1,0.403666667,-0.740094826,-0.230559557,-10.70491041,1,1.333333333,1.333333333,0,10.16666667,0.221177024,0,0,-0.059405273,-0.008065161,0,-0.03056349,1.403067951,-11.27344898,2.666666667,-0.000325667,-0.004307942,0,-240.7546193,0,0.211437604,0.158400303,0.404044011,0.247773148,0.017259182,1.333333333,0,0.000492978,0.796734084,5.083333333,0.401678335,-53.69224379,-30.22365538,-7.26660496,0.472222222,-0.282022038,69.75184243,54.0969773,6.361285783,0,3.641666666,78475.04674,0.3671875,78437.47291,0.388888889,1.333333333,-0.393230722,0.305928776,1
-0.036474451,1,0.830333333,-0.725421819,-0.260121537,-20.3938113,1,3,3,0,24.90424383,0.743100691,0,0,0.342691127,0.110827844,0,0.075531461,1.212573987,-6.534128399,3.333333333,0.005328671,0.031064827,0,-183.6218085,0,0.163481629,0.169280298,0.271608802,0.181578614,0.017437299,3,0,0,1.666544992,8.205540123,0.330883749,-87.39289493,-18.83211333,-16.53371033,0.396825397,-0.27358339,78.52250026,184.9620895,10.67752153,0,4.467592593,4.131638548,-0.256959877,3.760397969,0.433333333,3,-0.394155534,0.594485753,1
