,AATSC2e,RotBtFrac,MLFER_A,AATSC2s,MATS2e,ATSC2s,HybRatio,nHBDon,nHsOH,nHBint2,SsOH,RDF20m,nBondsD,minHBint7,MATS6m,MATS6c,nAtomP,MATS6e,GATS2v,AATSC2m,nAtomLAC,AATSC6e,AATSC6s,maxdO,ATSC2m,minwHBa,MATS5i,MATS3c,ASP-3,MATS5p,AATSC3e,nHBDon_Lipinski,minHCsatu,ATSC8c,RDF20v,minHBa,AATSC3s,ATSC1m,VE3_DzZ,ATSC1s,RotBFrac,MATS1s,AATS0m,AATS6i,PetitjeanNumber,nHBa,BCUTc-1l,SM1_Dzi,RDF20i,nT6Ring,AATS3s,VR2_Dzp,minssCH2,VR2_Dzi
582,0.004381372,0.975,0.0777,0.129795947,-0.072940198,2.152508828,0.95,0.3,0.2,0.2,1.603199074,0.63483777,0.2,0,-0.2054256,-0.096534977,0.3,-0.147094076,1.279358863,-2.126756857,4,-0.013395586,-0.345908788,0.984643519,-249.9175322,-0.129407407,0.143973748,-0.008751792,0.21568459,0.072741902,-0.004391519,0.4,0.073645833,0.001331041,2.267042477,0.483703704,-0.12702608,-19.8040612,-56.22042459,-3.395160216,0.7125,-0.254868889,54.42554267,164.5713789,0.49,0.5,-0.341893298,0.294503259,17.72224492,0,1.884901433,211876.5421,1.163165509,211778.1287
583,0.003874298,0.977272727,0.070909091,0.116931492,-0.076521328,1.848214278,0.954545455,0.272727273,0.181818182,0.181818182,1.457453704,0.637446252,0.181818182,0,-0.202951983,-0.089958659,0.272727273,-0.142057384,1.278895984,-2.190418425,4,-0.012266624,-0.315637428,0.895130471,-253.4120728,-0.117643098,0.144044358,-0.009052157,0.21536163,0.072140738,-0.004018108,0.363636364,0.066950758,0.001344485,2.27823882,0.43973064,-0.115626587,-18.98260095,-56.76042377,-3.202856095,0.715909091,-0.254636818,53.83625713,164.3640655,0.490909091,0.454545455,-0.341992639,0.288207471,17.84602787,0,1.846122515,214016.6641,1.180292508,213917.264
584,0.003451737,0.979166667,0.06525,0.106211114,-0.079505604,1.594635487,0.958333333,0.25,0.166666667,0.166666667,1.335999228,0.639619987,0.166666667,0,-0.200890636,-0.084478394,0.25,-0.137860141,1.278510252,-2.243469731,4,-0.011325822,-0.290411295,0.820536265,-256.3241899,-0.107839506,0.1441032,-0.009302462,0.215092497,0.071639769,-0.003706933,0.333333333,0.061371528,0.00135569,2.287569106,0.40308642,-0.10612701,-18.29805075,-57.21042308,-3.04260266,0.71875,-0.254443427,53.34518584,164.1913044,0.491666667,0.416666667,-0.342075423,0.28296098,17.94918033,0,1.81380675,215800.0991,1.194565008,215699.8767
585,0.004576848,0.975308642,0.126222222,0.137642206,-0.067669286,3.231577105,0.955555556,0.333333333,0.222222222,0.222222222,1.808067733,0.638932227,0.222222222,0,-0.142313484,0.036822623,0.333333333,-0.004632542,1.28438455,-2.21861956,4.111111111,0.012604145,0.371604387,1.110431154,-247.7830688,-0.129501029,0.124046375,0.001386336,0.217418968,0.057089022,-0.00224584,0.444444444,0.072152778,0.00673331,2.275555846,0.555766461,-0.061283732,-20.55184896,-55.54819012,-3.191758093,0.716049383,-0.247794524,54.02298415,164.4267127,0.5,0.555555556,-0.341776808,0.302198112,17.67739755,0,1.826080247,209261.5777,1.179063786,209164.2418
586,0.00399952,0.977777778,0.1139,0.122706681,-0.072135621,2.788946272,0.96,0.3,0.2,0.2,1.62726096,0.641392112,0.2,0,-0.145903718,0.030720812,0.3,-0.013338334,1.283372814,-2.279461014,4.1,0.011246031,0.333151566,0.999388039,-251.8405098,-0.116550926,0.126116784,4.21E-05,0.216890274,0.05799303,-0.002049656,0.4,0.0649375,0.006207873,2.287020487,0.500189815,-0.055318525,-19.57346392,-56.20941266,-3.000563772,0.719444444,-0.248246683,53.4150259,164.2131347,0.5,0.5,-0.341897732,0.294503259,17.81804353,0,1.789305555,211877.2083,1.196313657,211778.6792
587,0.00352716,0.97979798,0.103818182,0.110486705,-0.075789894,2.426793773,0.963636364,0.272727273,0.181818182,0.181818182,1.479328145,0.643404744,0.181818182,0,-0.148841181,0.025728422,0.272727273,-0.020461256,1.282545031,-2.329240386,4.090909091,0.010134846,0.301690167,0.90853458,-255.1602342,-0.105955387,0.127810754,-0.00105769,0.216457707,0.058732673,-0.001889142,0.363636364,0.059034091,0.005777969,2.296400647,0.454718013,-0.050437901,-18.77296706,-56.75041293,-2.844132055,0.722222222,-0.248616632,52.91760552,164.0383889,0.5,0.454545455,-0.34199667,0.288207471,17.93311752,0,1.759217171,214017.2698,1.210427189,213917.7644
588,0.03834392,0.833333333,0.395,0.95367332,0.210488953,14.92299899,0.777777778,0.666666667,0.666666667,0.666666667,5.148148148,0.312386556,0.666666667,0,-0.059405273,-0.008065161,2,-0.03056349,1.239382809,3.261208211,3.333333333,-0.000325667,-0.004307942,6.245370371,-28.8623128,-0.49691358,0.2944176,-0.059087838,0.342876205,0.335858236,-0.027476718,0.666666667,0.341666667,0.000492978,1.090367126,5.148148148,-0.655903184,-37.37535461,-21.27974585,-4.582099298,0.416666667,-0.181497674,73.60687626,54.0969773,0.388888889,1.333333333,-0.335362929,0.305928776,7.689985647,0,3.29003268,78477.28625,0.598668981,78437.72512
589,0.050612552,0.777777778,-0.014333333,1.231545385,0.18125082,16.89805255,0.555555555,1.333333333,1.333333333,1.333333333,10.27074074,0.367995328,1.333333333,0,1.040479644,0.567934887,2,0.493443599,1.300833649,3.858474323,3.333333333,0.121900779,3.125321687,6.285925926,-28.90769307,-0.875,0.298175581,-0.372250408,0.227845518,0.250128237,-0.132353857,1.333333333,0.55,0.000492978,1.267476271,5.135370371,-3.632488331,-52.87000902,-37.35129304,-13.79697533,0.472222222,-0.289803378,104.5101414,177.375412,0.5,2.666666667,-0.335741942,0.536774358,8.472532723,0,5.166666666,268949.9683,-0.086516204,268913.3672
590,-0.033453548,1,0.403666667,-0.740094826,-0.230559557,-10.70491041,1,1.333333333,1.333333333,0,10.16666667,0.560221467,0,0,-0.059405273,-0.008065161,0,-0.03056349,1.403067951,-11.27344898,2.666666667,-0.000325667,-0.004307942,0,-240.7546193,0,0.211437604,0.158400303,0.404044011,0.247773148,0.017259182,1.333333333,0,0.000492978,1.535386087,5.083333333,0.401678335,-53.69224379,-30.51661866,-7.26660496,0.472222222,-0.282022038,69.75184243,54.0969773,0.388888889,1.333333333,-0.377251907,0.305928776,10.93999283,0,3.641666666,78475.04674,0.3671875,78437.47291
591,-0.037485687,1,0.45375,-0.831142548,-0.245337923,-11.89368281,1,1.5,1.5,0,11.4375,0.547307767,0,0,-0.044553955,-0.006048871,0,-0.022922617,1.419168046,-12.32925084,2.5,-0.00024425,-0.003230957,0,-234.8042619,0,0.219773498,0.179707317,0.428033009,0.270478653,0.01945208,1.5,0,0.000369734,1.428534066,5.71875,0.452092085,-59.05777446,-26.56114406,-8.01495372,0.4375,-0.285735279,72.47789752,40.57273298,0.375,1.5,-0.381535139,0.316013675,9.922009769,0,3.914583333,58857.19206,0.244140625,58828.57996
592,-0.013420418,1,0.403666667,-0.262067839,-0.130844633,-5.561513519,1,1.333333333,1.333333333,0,10.66975309,0.51611585,0,0,-0.059405273,-0.008065161,0,-0.03056349,1.315706545,-4.167697748,3.333333333,-0.000325667,-0.004307942,0,-160.6262204,0,0.245348924,0.117292213,0.342876205,0.269647717,0.001684978,1.333333333,0,0.000492978,1.475403303,5.262345679,0.087209053,-54.63112026,-21.85990108,-7.273854574,0.416666667,-0.266857296,64.84558913,54.0969773,0.388888889,1.333333333,-0.37661962,0.305928776,10.3863993,0,3.412037037,78475.25715,0.357928241,78437.80289
593,-0.034226412,1,0.344333333,-0.35390435,-0.266841803,-14.39824374,1,1.333333333,1.333333333,0,11.01751795,0.919981115,0,0,-0.061420261,0.168114028,0,0.062586287,1.246339199,-8.75291452,2.666666667,0.013410455,0.104025391,0,-408.5419521,0,-0.0040506,0.157537634,0.2571018,-0.012926504,0.012517826,1.333333333,0,-0.04782091,2.221646765,3.248486395,0.085567225,-22.97716421,-43.86807021,-5.634938294,0.768518519,-0.191724829,68.86117906,170.6239242,0.462962963,2.666666667,-0.377245712,0.536774358,15.70775997,0,2.652777778,78477.00843,0.478298611,78439.31773
594,-0.013582678,1,0.131,-0.140034788,-0.17027357,-6.146048416,1,0.5,0.5,0,4.131569233,0.759699838,0,0,-0.134417485,0.047920584,0,-0.033836686,1.263794197,-5.049239258,3.5,0.004418296,0.03093213,0,-333.4266559,0,0.088950062,0.051541733,0.228995696,0.036483252,0.004516685,0.5,0,-0.017008508,2.326993944,1.218182398,0.031067922,-15.34643564,-55.30078604,-2.912986161,0.756944445,-0.229594383,55.7875682,165.415804,0.486111111,1,-0.355833423,0.342071375,17.81782083,0,1.90625,176565.0558,1.024088542,176482.6295
